J-c	J-itc	J-pc	J-poal	J-rh	J-ta	J-taa	J-tamb	J-tap	J-tb	J-te	J-tgb	J-tit	J-to	J-toh	J-tots	J-tr	J-tsf	J-tsop	J-tsotp	J-ttm	J-twotd	J-waw	J-wmk	J-ws	T-acyikac	T-adbds	T-ata	T-cfma	T-cs	T-fteajatw	T-ia	T-lotm	T-proja	T-ri	T-snao	T-tac	T-taohf	T-taots	T-tet	T-tgaatot	T-tms	T-tpatp	T-tsa	T-tsd	T-ttopw
J-ttm	14.2937720107513	20.2771633954818	9.18263054950504	14.5429439353127	18.769155637049	15.7117697285272	22.0378199727881	18.4803509496764	17.3363467372515	10.2131400001439	16.6384674781013	21.4057782442027	22.3442283955811	19.871939928189	22.0790173540982	17.9885945201592	12.1063598611727	24.2045191201736	14.1036447056374	18.5788952847447	0	21.1631546353047	20.8318313541299	18.3133055206363	16.6207425426205	61.4702983711706	56.531783378712	61.8097379979688	55.6217000446676	48.3820081861483	63.1444450265618	62.6047714817897	59.4060142626657	60.4750511492911	61.1280650390618	53.167545803206	53.292029939721	68.5752101801047	61.8882216301911	49.2071390832147	47.5669440392438	59.9524960973643	61.3070179684687	66.1218789315634	60.4994996805203	50.5676281056123
J-twotd	20.6419259255687	22.6569864543973	21.9809824593071	19.5046294804502	34.3539637935205	31.2595759968426	16.5528605119769	12.5328935480457	22.9739956882272	19.0328307012591	25.0405770821943	10.445876885417	19.2285657209538	18.4539345221753	17.2385644021064	22.6563316277901	18.6663524215311	12.5683621311194	17.4875105595675	16.0561719995092	21.1631546353047	0	33.1996609712351	12.7826154877483	21.2398696921606	78.7745068418136	73.835991849355	79.1139464686118	72.7688551190434	66.0268578506693	80.4486534972048	79.9089799524327	76.7102227333087	77.7792596199341	78.4322735097049	70.471754273849	70.596238410364	85.7471311831863	79.1924301008341	66.196154304103	64.8711525098868	76.6454247365203	78.6112264391117	83.4260874022064	77.8037081511632	67.8718365762553
J-waw	22.0404812837687	31.6835641231432	20.0311134716805	23.6779822099043	14.3935077132051	15.3005648855019	30.7695638445995	28.976725841777	24.6641643336393	22.5869196094446	21.2004724871554	34.2479544797621	31.4170947638662	30.2341897639428	32.2556943169522	25.4999188032561	26.6182813880336	36.5116582209804	26.1173450923056	31.3196763145678	20.8318313541299	33.1996609712351	0	30.7489928874664	24.6704549994632	48.4099315301991	43.5098833859617	48.7493711569973	42.4887873225171	38.3349289495415	50.0840781855903	49.5444046408182	46.3456474216942	47.5298905522978	48.0676981980904	40.4322168212299	40.7473213173537	55.3825558715718	48.8278547892196	36.9274353086082	35.1612344382669	46.4772668304074	48.6596908954672	53.0615120905919	47.4391328395487	38.0499172526879
J-wmk	21.617259117416	20.8951215150762	20.2132923139192	19.1502738319352	30.8374631710011	28.2756389877039	16.1378288377044	14.8627327965805	19.6707890717635	17.440969313809	22.4061279972539	14.3234626586467	22.6001731974279	21.1391990393617	17.5877899436608	19.9856610267658	16.6692407205937	17.0973011588632	14.6943820527605	20.402021664395	18.3133055206363	12.7826154877483	30.7489928874664	0	22.0304197840597	75.7635787315884	70.8250637391298	76.1030183583866	69.7579270088182	62.3530014115127	77.4377253869796	76.8980518422075	73.6992946230835	74.7683315097089	75.4213453994796	67.4608261636238	67.5853103001388	82.7362030729611	76.1815019906089	63.3302634579731	62.0641679212318	73.7020262285624	75.6002983288865	80.4151592919812	74.792780040938	64.8609084660301
J-ws	11.8987660778348	25.4709862125018	16.2025815316404	9.84970863287562	22.8146627613287	19.481324326297	20.231302456954	20.6820837038079	20.4127469422358	14.9121730618631	14.8332136397205	21.3397844306563	26.1686097167253	21.0560665871135	18.3554061935253	20.0842902990413	16.2553426128553	21.5250120089444	14.9352575706793	22.639917279812	16.6207425426205	21.2398696921606	24.6704549994632	22.0304197840597	0	67.5854222533966	62.646907260938	67.9248618801948	61.5797705306264	54.5721033360272	69.2595689087878	68.7198953640157	65.5211381448917	66.5901750315171	67.2431889212878	59.282669685432	59.407153821947	75.0255435641087	68.0033455124171	55.0070697156859	53.6820679214698	65.6030769540343	67.4221418506947	72.2370028137894	66.6146235627462	56.6827519878383
T-acyikac	63.7543580653172	63.2075724319981	60.488291792781	69.2876445622637	47.8363375108494	50.5601023465022	75.7220537758908	73.7802456367735	64.2850398814782	65.1243076923008	60.2862335290452	79.3626403954547	69.4714243176158	72.7851210774212	79.5469668507952	64.0712187747833	68.4261003712348	80.3885614026553	70.9630241995796	70.819788741249	61.4702983711706	78.7745068418136	48.4099315301991	75.7635787315884	67.5854222533966	0	20.8208952423699	16.0778201710993	17.4619122087464	29.1249849279518	19.9005861240414	17.5339384822543	14.2504032061855	15.2718992330558	13.0487073241137	15.7291363383039	17.0645182023063	21.6264556786927	17.2272392872112	21.6873146941884	19.9639026280123	20.6595386445065	16.6186718297382	18.7642914279432	19.1956069311241	18.7204351989178
T-adbds	58.8158430728587	58.2690574395396	55.5497768003224	64.3491295698051	43.5318782332513	45.6215873540437	70.7835387834322	68.8417306443149	59.2776441574731	60.1857926998422	55.3477185365866	74.4241254029961	64.3560348238012	67.8466060849626	74.6084518583367	59.1327037823248	63.4875853787762	75.4500464101967	66.024509207121	65.7972410057705	56.531783378712	73.835991849355	43.5098833859617	70.8250637391298	62.646907260938	20.8208952423699	0	20.415265261397	17.4411162797326	29.3709406782975	23.1628745738019	20.9125965315038	19.9486120231042	21.5556310167242	18.8353378875011	17.721940501434	19.573570258075	22.2529013360424	19.172470742728	20.0150733775868	18.1628424258147	24.0832895050837	22.8515040087273	18.6072532545653	19.7504659034986	19.618760129224
T-ata	64.0937976921154	63.5470120587963	60.8277314195792	69.6270841890619	47.9017728044538	50.8995419733004	76.061493402689	74.1196852635717	64.5555987767299	65.463747319099	60.6256731558434	79.7020800222529	69.2343123067483	73.1245607042193	79.8864064775934	64.606359399025	68.765539998033	80.7280010294535	71.3024638263778	70.2327686948746	61.8097379979688	79.1139464686118	48.7493711569973	76.1030183583866	67.9248618801948	16.0778201710993	20.415265261397	0	16.8459305907835	25.9314741654926	14.1812823820777	18.0087801408409	11.8617072011976	12.9787865547407	15.5960801596293	14.9239552530308	17.6303735703313	19.8811891184694	15.6575208991232	19.8541311100178	17.5000263094714	23.5946845930794	21.683888737005	19.9626257168796	22.6801694071659	19.3418945275853
T-cfma	57.7487063425471	57.2019207092279	54.4826400700108	63.2819928394935	41.567136476821	44.554450623732	69.7164020531206	67.7745939140033	58.2105074271615	59.1186559695306	54.280581806275	73.3569886726845	62.88922095718	66.7794693546509	73.541315128025	58.5509892378222	62.6081800392405	74.3829096798851	64.9573724768094	64.1513615994126	55.6217000446676	72.7688551190434	42.4887873225171	69.7579270088182	61.5797705306264	17.4619122087464	17.4411162797326	16.8459305907835	0	22.8029521528004	18.913890020433	16.2651514856744	16.0581772897407	14.8050674003966	14.9751514589962	14.4775849898224	18.1829402510529	21.299820644727	17.7501335668206	16.4251640593891	14.1966600663021	18.5007862734441	19.9406681217244	21.2865772648567	19.8533134429516	13.281995520883
T-cs	51.9259396750792	52.9719299497963	47.948866099994	55.5297419185069	39.558412040833	43.3232061616921	61.6062337863133	59.9058264925716	52.6502281484712	52.4969817661415	47.9488961826469	65.2468204058772	55.4729632455235	58.7875632174885	65.7698884322138	54.1345531435601	54.797597847349	66.805757421787	57.5671773846212	55.777509078499	48.3820081861483	66.0268578506693	38.3349289495415	62.3530014115127	54.5721033360272	29.1249849279518	29.3709406782975	25.9314741654926	22.8029521528004	0	20.7313797352458	25.7712308268334	26.5030865847693	28.1506825309896	26.7653396709115	22.2673034888844	24.4090966686093	32.9302965715381	31.4357986500268	25.848079782094	23.3653598017795	35.0248111258587	26.7936835827402	30.8030613807347	27.8068126387797	25.3135243968831
T-fteajatw	65.4285047207084	64.9799812608697	62.1624384481722	70.9617912176549	49.2632170951159	52.2877397619291	77.396200431282	75.4543922921648	65.890305805323	66.798454347692	61.9603801844364	81.0367870508459	70.5690193353414	74.4592677328123	81.2211135061865	65.7453654301745	70.100247026626	82.0627080580465	72.6371708549708	71.5674757234677	63.1444450265618	80.4486534972048	50.0840781855903	77.4377253869796	69.2595689087878	19.9005861240414	23.1628745738019	14.1812823820777	18.913890020433	20.7313797352458	0	14.9556006480002	13.3690317033075	18.2910760727398	15.3272317888444	18.035806974257	21.4494845056475	23.7677737233544	22.4990218251168	22.6751527891669	20.2287385237361	24.2773574667609	22.1047313019663	21.2360865788513	24.1837824699958	23.9581167587279
T-ia	64.8888311759364	64.3420455426173	61.6227649034002	70.4221176728829	48.6968062882748	51.6945754571214	76.8565268865099	74.9147187473926	65.3506322605509	66.2587808029199	61.4207066396643	80.4971135060738	70.3746454090093	73.9195941880403	80.6814399614144	65.2056918854025	69.560573481854	81.5230345132745	72.0974973101987	71.702704883363	62.6047714817897	79.9089799524327	49.5444046408182	76.8980518422075	68.7198953640157	17.5339384822543	20.9125965315038	18.0087801408409	16.2651514856744	25.7712308268334	14.9556006480002	0	13.5424694091614	18.1477630763968	12.0698869141053	15.9689514706893	22.3765555713682	22.1910458706871	18.7845771891379	21.7789740451273	17.4899665650353	25.9267566070793	19.9348108702067	21.8344007698681	21.0283149040861	20.1937757953358
T-lotm	61.6900739568123	61.1432883234932	58.4240076842761	67.2233604537588	45.4980490691507	48.4958182379973	73.6577696673859	71.7159615282686	62.1518750414268	63.0600235837959	58.2219494205403	77.2983562869498	66.8305885714452	70.7208369689162	77.4826827422903	62.0069346662784	66.3618162627299	78.3242772941504	68.8987400910747	67.8290449595715	59.4060142626657	76.7102227333087	46.3456474216942	73.6992946230835	65.5211381448917	14.2504032061855	19.9486120231042	11.8617072011976	16.0581772897407	26.5030865847693	13.3690317033075	13.5424694091614	0	15.5067871776285	11.6837610911517	14.3087848903926	18.8466669503995	21.8378138932486	17.7666435394259	18.4052753619324	15.3053821102892	21.2678530827947	19.1970599213764	20.6759489807117	21.3276791022739	18.747793756446
T-proja	62.7591108434378	62.2123252101187	59.4930445709015	68.2923973403842	46.5670859557761	49.5648551246227	74.7268065540113	72.784998414894	63.2209119280522	64.1290604704213	59.2909863071657	78.3673931735752	67.8996254580707	71.7898738555416	78.5517196289157	63.0759715529038	67.4308531493553	79.3933141807758	69.9677769777001	68.898081846197	60.4750511492911	77.7792596199341	47.5298905522978	74.7683315097089	66.5901750315171	15.2718992330558	21.5556310167242	12.9787865547407	14.8050674003966	28.1506825309896	18.2910760727398	18.1477630763968	15.5067871776285	0	15.3309337819185	15.7316890685529	17.8777845921505	20.1010585360536	14.9909153247884	21.9430015051495	18.197627764768	18.4425681893026	18.6816124288567	21.4207565599174	21.6041756221355	17.0124815801374
T-ri	63.4121247332085	62.8653390998894	60.1460584606723	68.945411230155	47.2810772862915	50.2178690143935	75.3798204437821	73.4380123046648	63.873925817823	64.7820743601921	59.9440001969364	79.0320090754003	69.166490378966	72.4428877453124	79.2047335186865	63.7784999875557	68.0838670391261	80.0463280705466	70.6207908674709	70.5148548025992	61.1280650390618	78.4322735097049	48.0676981980904	75.4213453994796	67.2431889212878	13.0487073241137	18.8353378875011	15.5960801596293	14.9751514589962	26.7653396709115	15.3272317888444	12.0698869141053	11.6837610911517	15.3309337819185	0	14.9117656438953	20.5395571082826	20.5308769555189	16.7011351687609	20.5098446801442	16.1195719268431	21.815490528184	16.8914732700313	17.6012922257911	19.2716749174265	17.6429626385976
T-snao	55.4516054973526	54.9048198640336	52.1855392248165	60.9848919942991	39.259580609691	42.2573497785377	67.4193012079262	65.4774930688089	55.9134065819671	56.8215551243362	51.9834809610806	71.2149273191356	61.3748411158388	64.4823685094565	71.2442142828307	56.1174662023711	60.1233478032702	72.0858088346907	62.660271631615	62.6977730463345	53.167545803206	70.471754273849	40.4322168212299	67.4608261636238	59.282669685432	15.7291363383039	17.721940501434	14.9239552530308	14.4775849898224	22.2673034888844	18.035806974257	15.9689514706893	14.3087848903926	15.7316890685529	14.9117656438953	0	16.7216227613004	22.3251888738062	20.0451429972551	16.5910195709558	14.3011625092814	24.7037625788733	20.4827154710234	19.8303784889829	18.979467061928	14.7318920402995
