DC1423.D1023	DC1423.D1400	DC1423.D19337	DC1423.D40723	DC1423.D564	DC1423.D580	DC1423.D588	DC1423.D650	DC1423.D675	DC1423.D699	DC1423.D700	DC1423.D730	DC1423.D766	DC1423.D821	DC1423.D872	DC1423.D882	DC1423.D883	DC1423.D914	DC1423.D916	DC1423.D917	DC1423.D963	DC1423.D967	DC1423.D968	DC1423.D98	DC1423.Dal2324	DC1423.Dal28198	DC1423.DC1423	DC1423.C1438	DC1423.C155	DC1423.C1586	DC1423.C1587	DC1423.C1588	DC1423.C1621	DC1423.C1622	DC1423.C1623	DC1423.C1624	DC1423.C1626	DC1423.C1627	DC1423.C1628	DC1423.C1629	DC1423.C1630	DC1423.C170	DC1423.C1895	DC1423.C1917	DC1423.C1975	DC1423.C28367	DC1423.C3606	DC1423.C3632	DC1423.C3633	DC1423.C4605	DC1423.C583	DC1423.C7891	DC1423.C7893	DC1423.C7894
D700	4.26438352451546	6.95564265871522	4.03448070576906	3.80968834320908	5.02562569664941	5.09982025316525	3.64524673538108	9.73165015799817	6.23340352058146	5.96155747432778	0	2.60927888044537	4.29143395896408	2.9441202197025	5.7100375040685	4.94495104621201	3.97714132781687	4.78309196232955	5.96405316942581	2.30830084884405	4.15463660699978	3.65944906762111	3.62291558258123	4.25683281793254	7.10554572814236	3.61745200617651	8.24371714468823	15.2806685655993	12.9949583359589	14.924219663675	17.2213531717521	9.49812233233948	14.1567411722999	15.3815188317757	17.9470304204186	17.7148188555907	9.45022197634771	16.6578327837102	17.8490658151762	16.6153767797194	16.8066004106023	14.5418165023984	13.7434090236943	12.3072275206605	17.9143327516319	7.17197623304159	9.6238761304575	16.513200900395	15.61871208148	12.1946306292647	12.8794061189166	14.230800629016	9.2248664838425	13.0086052920648
D730	4.80051465630813	7.15025871627705	4.25149874406023	4.93198420819359	3.68706458491862	3.19450042687008	4.70727268771349	10.8890247262797	7.06971772324813	6.75214310271669	2.60927888044537	0	4.68825154930695	3.09818120840805	5.78520355617907	4.91009175127798	3.15436471709316	5.67228236761862	7.00121998286532	3.03227514630522	3.53509651529681	2.74019649045634	2.22746079857236	4.13544213574613	7.35696390715333	4.78296962028488	7.36967436941392	14.4175343835513	12.1318241539109	14.061085481627	16.3582189897041	9.04733637550293	13.293606990252	14.5183846497278	17.0838962383707	16.8516846735428	8.70196760579762	15.7946986016623	16.9859316331282	15.7522425976715	15.9434662285544	13.6786823203505	12.8802748416464	11.5916665326114	17.0511985695839	6.80730665848366	8.96277931601291	15.6500667183471	14.755577899432	11.3651509553931	12.1142175714626	13.3074325147459	8.36173230179457	12.1454711100168
D766	2.24763329113348	4.2849809269856	4.62991231737682	4.43847031984474	4.13722134405591	5.93472671458707	3.94297055000924	12.9119164379306	9.07494233291222	6.8011758717568	4.29143395896408	4.68825154930695	0	3.68168644447442	7.33292654493934	6.19409447470461	2.24271226409445	6.21688714591025	7.62776304247623	4.90953179186541	2.90349683514682	4.70222198612047	3.57171536790707	2.93488376417008	5.11690215537302	4.74050606743083	6.13621204905983	12.363778768553	10.0780685389126	12.0073298666287	14.3044633747058	7.5285510789444	11.3493153560959	12.4646290347294	15.0301406233724	14.7979290585445	7.29081197440975	13.7409429866639	14.9321760181299	13.6984869826731	13.889710613556	11.6249267053521	10.8265192266481	9.3903377236142	14.9974429545856	8.11100000363313	9.30951838667764	13.5963111033488	12.7018222844337	8.71920459899083	9.9625163218703	11.3207785102272	6.47927583908904	10.0917154950185
D821	3.64225950263066	6.32729567556578	3.39841986380908	4.14154507947706	4.05381068535837	4.33710771348753	4.09633892350716	10.8559603570871	7.02959437323634	5.75752605875622	2.9441202197025	3.09818120840805	3.68168644447442	0	6.24351185719952	4.76929889976211	3.70988245805843	5.08158925293687	5.62732679888025	3.06888550879073	3.35842069897342	2.28830505563045	3.28920768167225	3.89990953284972	4.80303876020018	2.98325158882861	7.41355638432277	14.2978609889972	12.0121507593569	13.9414120870729	16.2385455951501	8.39642662213254	13.1739335956979	14.3987112551737	16.9642228438166	16.7320112789887	8.46741439974569	15.6750252071082	16.8662582385741	15.6325692031174	15.8237928340003	13.5590089257964	12.7606014470923	11.3244199440585	16.9315251750298	8.21501968625519	8.64790450404258	15.530393323793	14.635904504878	10.9087024481348	11.8965985423146	13.1877591201918	8.24205890724048	12.0257977154627
D872	7.14631558368718	7.98886163112228	5.48043973125104	6.85649568302964	6.34207448576349	6.82139000153885	6.19644560677286	6.95491900135881	4.83362890094512	6.16078521942182	5.7100375040685	5.78520355617907	7.33292654493934	6.24351185719952	0	4.52671376045433	6.57590152944463	3.02596358210633	6.35353354341321	5.09860824778791	6.5998010331667	6.37564266663474	6.21798406667313	5.98440072630198	8.98381140975714	5.78244950299169	10.9967316846981	18.2206442347875	15.9349340051471	17.8641953328632	20.1613288409403	12.3192098679228	17.0967168414881	18.3214945009639	20.8870060896068	20.6547945247789	12.3901976455359	19.5978084528984	20.7890414843644	19.5553524489076	19.7465760797905	17.4817921715866	16.6833846928825	15.2472031898487	20.8543084208201	5.28712983886187	12.2796201373141	19.4531765695832	18.5586877506682	15.1953050121206	15.8193817881048	17.110542365982	12.4152908874216	15.9485809612529
D882	6.26186227376969	8.81371565719377	5.08721344529463	5.59316655626489	4.80588089417218	4.73931741407042	5.88735573276481	9.12360333178564	4.74552667499099	5.80901494622603	4.94495104621201	4.91009175127798	6.19409447470461	4.76929889976211	4.52671376045433	0	5.26167441229232	2.76958040127306	4.02024034368626	4.10931963283432	4.91317614780703	3.797293026575	3.9680343160928	6.06544721642815	8.09840341660387	5.45402695830112	9.90740760618221	17.0297761511171	14.7440659214767	16.6733272491928	18.9704607572699	11.1283417842524	15.9058487578177	17.1306264172935	19.6961380059364	19.4639264411086	11.1993295618655	18.406940369228	19.598173400694	18.3644843652372	18.5557079961201	16.2909240879162	15.4925166092121	14.0563351061783	19.6634403371497	6.14083945145188	11.2136437892734	18.2623084859128	17.3678196669978	13.3852019815549	14.6285137044344	16.1005274952903	10.9739740693603	14.7577128775826
D883	3.16885037407125	5.04801634713527	4.08789883959509	5.14777503663603	2.9835346464602	4.37448541176568	4.70459912627727	13.1823738651962	8.43718778603639	6.79231191078999	3.97714132781687	3.15436471709316	2.24271226409445	3.70988245805843	6.57590152944463	5.26167441229232	0	5.98470946011148	7.5791733450877	3.91470046102564	1.92008031877955	3.5797063056218	2.50859504420756	2.95999074443461	5.89404525338903	4.40124442488978	5.94012117986642	12.3365285432955	10.0508183136551	11.9800796413712	14.2772131494483	6.96672521437417	11.4022765329249	12.4373788094719	15.0028903981148	14.770678833287	6.73104270845978	13.7136927614064	14.9049257928724	13.6712367574156	13.8624603882985	11.5976764800946	10.7992690013905	9.36308749835669	14.9701927293281	7.39180714709318	8.95472962404599	13.5690608780912	12.6745720591762	8.86858688447516	9.93526609661279	11.5096698215849	6.63871322775465	10.064465269761
D914	6.09268333182007	7.56375164196551	5.59214595733985	5.89353735335565	6.32918389857036	6.55417212005534	5.39379959384003	7.60628134899404	3.71326623245701	5.46914778417601	4.78309196232955	5.67228236761862	6.21688714591025	5.08158925293687	3.02596358210633	2.76958040127306	5.98470946011148	0	4.57366394312878	4.90245610918776	5.59371927570691	5.22000043944934	5.34452680182776	5.72943840493469	8.52188246363041	5.3710059897043	10.4052402083911	17.6291527584805	15.3434425288401	17.2727038565562	19.5698373646333	11.7277183916158	16.5052253651811	17.7300030246569	20.2955146132998	20.063303048472	11.7987061692289	19.0063169765914	20.1975500080574	18.9638609726006	19.1550846034835	16.8903006952796	16.0918932165755	14.6557117135417	20.2628169445131	5.5381858518231	11.6755301604294	18.8616850932762	17.9671962743612	14.0602021100247	15.2278903117978	16.5724163457545	11.6299220186906	15.357089484946
D916	7.44402855973901	10.0906279256951	6.11356439368023	6.72483161826681	6.80687358964644	7.72829138567622	5.90941367964743	8.74713388737694	5.75396529074023	6.90798807050911	5.96405316942581	7.00121998286532	7.62776304247623	5.62732679888025	6.35353354341321	4.02024034368626	7.5791733450877	4.57366394312878	0	5.67517142197362	6.96950423136907	5.051427548003	6.30143312035396	8.11094938116855	9.80299901120107	6.42730139761586	11.1845661188066	18.3547573494627	16.0690471198223	17.9983084475384	20.2954419556155	12.453322982598	17.2308299561633	18.4556076156391	21.0211192042821	20.7889076394542	12.5243107602111	19.7319215675737	20.9231545990396	19.6894655635828	19.8806891944657	17.6159052862618	16.8174978075578	15.3813163045239	20.9884215354953	8.00489407877764	12.2780134652629	19.5872896842585	18.6928008653434	14.7101831799005	15.95349490278	17.2991345555936	12.5627938997246	16.0826940759282
D917	4.90136041698643	7.24223796385159	3.61921286654657	4.34698902659353	4.47210041254224	4.87361883900522	3.96157066626121	9.73036522133522	6.15339873489859	6.78316156213105	2.30830084884405	3.03227514630522	4.90953179186541	3.06888550879073	5.09860824778791	4.10931963283432	3.91470046102564	4.90245610918776	5.67517142197362	0	4.25769001556981	3.4200397252721	3.25823969157742	4.02756131030133	7.30226381420401	3.84826334164132	8.94767764768256	15.6454758416145	13.3597656119741	15.2890269396902	17.5861604477673	9.85623524666343	14.5215484483151	15.746326107791	18.3118376964339	18.079626131606	9.81502925236296	17.0226400597255	18.2138730911914	16.9801840557346	17.1714076866176	14.9066237784136	14.1082162997096	12.6720347966757	18.2791400276471	6.97510433221234	9.15787673429387	16.8780081764103	15.9835193574952	12.3227383970162	13.2442133949318	14.7109629470155	9.58967375985775	13.37341256808
