DC1423.D1023	DC1423.D1400	DC1423.D19337	DC1423.D40723	DC1423.D564	DC1423.D580	DC1423.D588	DC1423.D650	DC1423.D675	DC1423.D699	DC1423.D700	DC1423.D730	DC1423.D766	DC1423.D821	DC1423.D872	DC1423.D882	DC1423.D883	DC1423.D914	DC1423.D916	DC1423.D917	DC1423.D963	DC1423.D967	DC1423.D968	DC1423.D98	DC1423.Dal2324	DC1423.Dal28198	DC1423.DC1423	DC1423.C1438	DC1423.C155	DC1423.C1586	DC1423.C1587	DC1423.C1588	DC1423.C1621	DC1423.C1622	DC1423.C1623	DC1423.C1624	DC1423.C1626	DC1423.C1627	DC1423.C1628	DC1423.C1629	DC1423.C1630	DC1423.C170	DC1423.C1895	DC1423.C1917	DC1423.C1975	DC1423.C28367	DC1423.C3606	DC1423.C3632	DC1423.C3633	DC1423.C4605	DC1423.C583	DC1423.C7891	DC1423.C7893	DC1423.C7894
D700	37.4026451809464	31.5264210039054	46.0991491543044	42.458401021072	38.8352423059066	43.3560023280606	32.7497121921315	46.8925095550488	35.3475842371233	56.1461799340371	0	33.7702318970774	36.1437100726324	24.8327417871467	41.1125407310929	41.6079533145286	32.4675350768031	40.4830251367856	43.4769893018672	23.3532092506432	29.3958000667411	27.937205383457	27.6823741611515	36.7012451729304	58.7625346174522	38.7157383069999	66.9562782196664	125.8925925458	114.605475965425	121.570146225091	121.334880626424	91.5553155477777	105.129391105836	123.985637313972	121.154762604976	122.72973955513	94.2114704188938	120.735160863941	115.669799165495	123.595474420101	122.563609456149	115.376357095941	120.457833358956	105.200957623516	119.892811960654	69.4666197730057	87.2459780243273	123.962248230337	116.740295983028	101.153875343713	121.499300372573	109.341902576084	87.1875537150116	111.318838593469
D730	39.4288719586509	38.8535089299175	48.4506346139037	46.5982379950322	44.5406731463582	39.2067259939861	42.872996252746	49.0229054998559	44.2195463361423	61.6454944778264	33.7702318970774	0	39.4689732505668	33.1338596671781	49.132054105311	37.1692489861517	36.2707822760475	56.0772329650007	49.28396983634	36.7221143717008	32.0493649678171	31.0363523452105	31.4268973079413	38.6103611949001	52.7415017886198	41.0126635241478	59.4434093928397	109.933863998616	100.806827820173	106.143995023808	105.426076771687	78.153606791635	92.6125462236117	107.955685407165	105.379305403402	106.355690672495	78.4557088324564	104.79322717513	100.197905067739	107.507627224748	106.475762260796	100.172747277249	104.369986163603	89.2944426269068	105.252074335635	64.1898925967434	67.9335751278073	107.874401034984	100.77210665944	85.48916650748	105.567885684726	97.4749843355014	72.0819848027089	96.3878687983307
D766	27.5810967230063	34.003621503757	48.9501049026387	43.2561831741619	38.7457043509396	40.8736738730426	39.294553636262	50.3457577111098	35.025939184452	49.9652318118801	36.1437100726324	39.4689732505668	0	30.0709551137162	39.2097796345145	42.849962241596	29.1839891121523	43.3673962921483	50.2531189832445	39.8394049185749	28.3673941357832	33.4344865732417	27.0407151240217	38.0762203617025	52.10464588892	45.3025151827436	61.3471434367541	117.930821420474	105.646223984756	113.608375099765	113.373109501098	83.1466057288623	99.6038421709931	116.023866188646	113.19299147965	114.481766742522	86.6840121360535	112.773389738615	106.822870137445	115.633703294775	114.601838330823	107.506677797187	112.49606223363	97.3004827245513	111.931040835328	69.3533330378262	88.9228651180613	116.000477105011	108.778524857702	93.1185303061843	113.824277574156	102.729706930206	80.1248194906574	103.357067468144
D821	34.8136780090068	33.9012610853167	47.3705496531483	42.3150926011328	36.6738722883644	37.7790578830939	38.3336035206475	46.9793981243588	35.8237332344166	49.0528607074388	24.8327417871467	33.1338596671781	30.0709551137162	0	42.4836954129411	37.2615311433456	28.0823944897089	45.7258547544931	49.1271532153655	28.397541552018	26.9957128909476	25.7980777609965	23.109125296338	35.2147987544151	57.3293269948285	39.0196966912605	65.7371614334517	125.888424694224	113.420447721806	121.565978373515	121.330712774848	91.2291313418596	105.285768032815	123.981469462395	121.1505947534	122.529160682474	94.6490625063875	120.730993012365	115.270979367994	123.591306568525	122.559441604573	115.302578476846	120.45366550738	105.19678977194	119.888644109078	72.3974765393929	87.5722727620142	123.958080378761	116.736128131452	100.360479474478	121.495132520997	109.77698259852	87.0665861471618	111.314670741893
D872	38.0810148743963	32.9621532847312	54.5255433561148	49.9752709752257	45.0181447431637	45.5056290005346	40.9005531823685	46.5797765259927	36.0931551363969	50.8007583775654	41.1125407310929	49.132054105311	39.2097796345145	42.4836954129411	0	39.4838582247238	44.0902748740663	31.9323924107355	53.3950924977038	43.7021067004461	39.5366498326923	43.969714095072	41.1965894725963	40.3360393939782	56.5236013922354	48.4293193218003	68.2335017100535	118.662660762204	106.194683789786	114.340214441496	114.104948842829	87.1606999173747	102.586273497269	117.042186279755	113.92483082138	115.234495719576	87.9510892330836	114.58322208181	108.545174788935	117.591751582278	115.989925238956	108.714195590017	113.671781798683	98.9110330984115	112.696088852833	65.1282792288472	89.2133870746117	116.732316446741	110.659153284786	94.3738973207455	114.269368588977	110.473780916768	84.1776306481017	105.839844284582
D882	43.0138580686007	40.6000552006529	47.4442131704682	49.5933141938924	46.1172923242386	37.5176196389709	44.0380126344424	47.8952870302752	40.3701497062947	52.5694864052918	41.6079533145286	37.1692489861517	42.849962241596	37.2615311433456	39.4838582247238	0	40.163587074133	42.1722603500766	54.0234644533903	41.8466659845214	38.084703095965	37.1772011711132	38.6607549683405	46.4850057885131	56.5003677861937	46.2607135888037	70.6128286875672	118.566553368151	108.840984554361	114.492194144927	113.881396003731	85.0237938638088	98.4543812349027	116.532152691278	114.248975771794	114.990053245155	88.9977094257048	113.613512318341	108.700097553352	116.141989797407	115.247989269326	107.853261705729	113.239452163886	98.4234386226754	112.613819924479	64.4902021627406	81.2828824705143	116.508763607643	109.286811360334	95.764642845884	114.04581574988	103.750320379018	81.4079457922718	104.075614175967
D883	34.1557314668622	30.2342151033249	43.5431507942546	44.0587883645831	32.8780263592839	41.8221839720076	37.8170309358784	48.7192770398308	38.7806877039602	55.7869741142808	32.4675350768031	36.2707822760475	29.1839891121523	28.0823944897089	44.0902748740663	40.163587074133	0	42.8943569655377	52.1322681341579	35.5565353744349	26.7382569455227	34.2271383841595	29.2025219662407	38.0369347403768	50.7314298308791	39.6187080870024	63.5024337116896	120.211678364707	108.461595136262	116.077927219079	115.862079888705	87.1458856739344	99.982254341562	118.304723132879	115.473848423883	116.762623686755	89.2442521945349	115.054246682848	109.953012942949	117.914560239008	116.882695275056	109.625832147329	114.776919177863	99.6596891716819	114.211897779561	67.9972007153499	82.9089365755092	118.281334049244	111.059381801935	95.3818351826169	115.81838619148	102.777974534425	81.1133281339405	105.637924412376
D914	44.0038836314708	37.4132383822073	51.1475819816383	48.2616399018969	45.7376104589238	48.0557750444604	39.1936504031844	43.6584106758086	37.8978757416208	57.7719016998649	40.4830251367856	56.0772329650007	43.3673962921483	45.7258547544931	31.9323924107355	42.1722603500766	42.8943569655377	0	56.6116268943991	43.1601210955463	41.7025872210858	46.6926389004647	48.1216655364391	42.4536168028335	61.0887936358446	51.844029034237	71.7646789903799	124.353829607422	112.753821042762	120.383068929653	119.796117688047	91.3241159885112	105.769090063985	122.529832111937	120.552277430736	122.357378666073	96.4253213478977	119.196397925563	114.124735437919	122.211647970347	121.050045934045	113.767983390044	119.561400218105	105.007316334876	118.354049022277	67.8240385200306	95.1410346851978	122.423485291959	115.264609375172	103.42165985945	120.330698971219	109.204066134986	88.7809010372751	111.353186588272
D916	51.3066319024618	50.1377375362791	48.1907577927687	48.9127030530007	50.4664463766306	66.0733426973772	43.1216128222955	60.7925982155289	45.2109827650431	64.3548414869049	43.4769893018672	49.28396983634	50.2531189832445	49.1271532153655	53.3950924977038	54.0234644533903	52.1322681341579	56.6116268943991	0	49.7991565597061	42.9137952197801	44.9627680123942	45.7118273581536	50.1881726185973	60.5147538796425	55.0608573217593	64.3733983312522	118.099405732545	106.875718004983	112.797508390438	113.110291380045	83.3237392305805	97.4634455769727	114.538584056118	111.876485332538	113.263244247535	88.411681784534	112.919224065451	107.146539726301	114.415483947496	113.163699518017	108.139247249778	111.521242668288	96.6432760081846	110.4457587028	69.694900572902	90.4429489444487	114.515194972483	109.020224063284	93.3540251331465	112.052247114719	100.352050248817	83.4836016357234	103.218964570504
D917	38.9196998749326	36.266825339261	47.8962768392625	44.3297027720406	41.8058184582995	44.7910150973845	36.938086258261	46.7096052046904	37.6202459428893	57.5068849695873	23.3532092506432	36.7221143717008	39.8394049185749	28.397541552018	43.7021067004461	41.8466659845214	35.5565353744349	43.1601210955463	49.7991565597061	0	33.7361947404649	30.9976391387918	28.3418327466363	39.1198879934572	58.894426600612	35.3567322124459	70.4536260424982	127.790047267157	116.732706837414	123.286815905028	123.051550306361	94.1235174385558	107.654141765921	125.702306993908	122.871432284912	124.192385906221	95.92814009883	122.451830543877	117.502588814689	125.312144100037	124.280279136086	117.197275955548	122.174503038892	106.917627303452	121.60948164059	73.5264628711281	90.0790444866319	125.678917910273	118.456965662964	102.560962304186	123.215970052509	110.923391896201	90.7029485386141	113.035508273406
